epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7105.79,0.8149,0.57291,1.10367,0.92857,0.91823,0.92694,0.76989,0.63802,0.52224,1.10139,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7323.59,0.81151,0.56998,1.10227,0.92762,0.9188,0.92379,0.76612,0.64166,0.52073,1.10626,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7540.99,0.80888,0.56147,1.10072,0.92154,0.91604,0.92304,0.7685,0.64151,0.53298,1.10347,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7758.34,0.80533,0.5609,1.09807,0.93608,0.91388,0.92524,0.76894,0.64385,0.54999,1.1041,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7975.67,0.80182,0.55703,1.09525,0.92954,0.91416,0.92449,0.76686,0.64265,0.55563,1.10665,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8193.79,0.80403,0.55347,1.09503,0.91731,0.91899,0.9249,0.76486,0.64888,0.55206,1.11067,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8410.76,0.80122,0.55673,1.09649,0.90506,0.92603,0.92197,0.76532,0.64479,0.54744,1.11018,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8629.08,0.79824,0.55028,1.09314,0.91574,0.92133,0.92119,0.76403,0.64468,0.5586,1.1088,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8846.58,0.79582,0.55131,1.09482,0.93042,0.91349,0.92288,0.76611,0.64374,0.55237,1.10995,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9063.74,0.79082,0.54749,1.08843,0.92954,0.91422,0.92431,0.76583,0.64374,0.5537,1.11048,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9282.13,0.79108,0.54794,1.08898,0.91966,0.91804,0.92383,0.76253,0.64595,0.56368,1.11329,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9499.84,0.78688,0.54236,1.08709,0.92221,0.91575,0.92034,0.75951,0.64841,0.58463,1.11459,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9717.36,0.78668,0.53841,1.08644,0.92688,0.90869,0.92114,0.75836,0.64942,0.57749,1.11727,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9935.55,0.78094,0.53504,1.0841,0.92511,0.91163,0.9212,0.76003,0.64845,0.57983,1.11903,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10153.1,0.77782,0.53232,1.08207,0.92997,0.91252,0.92374,0.76043,0.64877,0.58307,1.11899,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
